district_id,district_name,state_abbr,state_name,new_26,new_26_desc,24,24_desc,22,22_desc,20,20_desc,18,18_desc,16,16_desc
101,AL-01,AL,Alabama,,,Yes,"Under Alabama's court-ordered 2024 map, AL-1 remained anchored on the Gulf Coast around Mobile, but it gave up some inland territory as the state unpacked Black voters and created a second Black-opportunity district.",Yes,"AL-1 was redrawn for 2022. Alabama's 2022 map largely preserved the existing statewide structure, though it later became the subject of Voting Rights Act litigation and was replaced for 2024. In most cases the district remained recognizable, but its boundaries were adjusted to equalize population and fit the new statewide plan.",No,,No,,No,
102,AL-02,AL,Alabama,,,Yes,"AL-2 was the centerpiece of Alabama's 2024 redraw. Instead of the old Wiregrass-centered seat, it was reconfigured into a Mobile-to-Montgomery district with a much larger Black population, turning it from a safe Republican seat into a far more Democratic-leaning/open battlefield.",Yes,"AL-2 was redrawn for 2022. Alabama's 2022 map largely preserved the existing statewide structure, though it later became the subject of Voting Rights Act litigation and was replaced for 2024. In most cases the district remained recognizable, but its boundaries were adjusted to equalize population and fit the new statewide plan.",No,,No,,No,
103,AL-03,AL,Alabama,,,Yes,"AL-3 stayed centered in east Alabama, but its boundaries shifted to absorb territory moved out of neighboring districts after the court-ordered creation of a second Black-opportunity seat.",Yes,"AL-3 was redrawn for 2022. Alabama's 2022 map largely preserved the existing statewide structure, though it later became the subject of Voting Rights Act litigation and was replaced for 2024. In most cases the district remained recognizable, but its boundaries were adjusted to equalize population and fit the new statewide plan.",No,,No,,No,
104,AL-04,AL,Alabama,,,Yes,"AL-4 remained a north Alabama seat, though its lines were adjusted in the ripple effects of the 2024 court-ordered redraw that reworked the rest of the map around AL-2 and AL-7.",Yes,"AL-4 was redrawn for 2022. Alabama's 2022 map largely preserved the existing statewide structure, though it later became the subject of Voting Rights Act litigation and was replaced for 2024. In most cases the district remained recognizable, but its boundaries were adjusted to equalize population and fit the new statewide plan.",No,,No,,No,
105,AL-05,AL,Alabama,,,Yes,"AL-5 kept its north Alabama/Huntsville orientation, but it was trimmed and adjusted as Alabama rebalanced population under the court-ordered 2024 map.",Yes,"AL-5 was redrawn for 2022. Alabama's 2022 map largely preserved the existing statewide structure, though it later became the subject of Voting Rights Act litigation and was replaced for 2024. In most cases the district remained recognizable, but its boundaries were adjusted to equalize population and fit the new statewide plan.",No,,No,,No,
106,AL-06,AL,Alabama,,,Yes,"AL-6 remained the Birmingham suburbs seat, though it shed and picked up pieces at the margins as Alabama's 2024 court-ordered redraw reworked the surrounding districts.",Yes,"AL-6 was redrawn for 2022. Alabama's 2022 map largely preserved the existing statewide structure, though it later became the subject of Voting Rights Act litigation and was replaced for 2024. In most cases the district remained recognizable, but its boundaries were adjusted to equalize population and fit the new statewide plan.",No,,No,,No,
107,AL-07,AL,Alabama,,,Yes,"AL-7 stayed the state's other Black-opportunity district, still based in Birmingham and the Black Belt, but it was made somewhat less packed after Alabama's 2024 redraw created a second district giving Black voters an opportunity to elect their preferred candidate.",Yes,"AL-7 was redrawn for 2022. Alabama's 2022 map largely preserved the existing statewide structure, though it later became the subject of Voting Rights Act litigation and was replaced for 2024. In most cases the district remained recognizable, but its boundaries were adjusted to equalize population and fit the new statewide plan.",No,,No,,No,
201,AK-01,AK,Alaska,,,No,,No,,No,,No,,No,
401,AZ-01,AZ,Arizona,,,No,,Yes,"AZ-1 was materially redrawn for 2022. Arizona's independent commission adopted a full new nine-district map for 2022, rebalancing metro Phoenix and southern Arizona seats and renumbering several districts. It retained some of its previous core, but the new map changed the district's composition in noticeable ways.",No,,No,,No,
402,AZ-02,AZ,Arizona,,,No,,Yes,"AZ-2 was materially redrawn for 2022. Arizona's independent commission adopted a full new nine-district map for 2022, rebalancing metro Phoenix and southern Arizona seats and renumbering several districts. It retained some of its previous core, but the new map changed the district's composition in noticeable ways.",No,,No,,No,
